Distrito,02/20,01/20,12/19,11/19,10/19,09/19,08/19,07/19,06/19,05/19,04/19,03/19,02/19,01/19,Renta_INE
Centro,5.088,5.096,5.059,5.043,5.010,4.994,4.993,5.044,5.031,4.991,5.034,5.069,5.033,4.987,16147
Arganzuela,3.894,3.983,4.019,4.043,4.030,4.059,4.073,4.096,4.085,4.080,4.095,4.071,4.042,4.017,17306
Retiro,4.549,4.572,4.539,4.600,4.603,4.572,4.575,4.598,4.660,4.669,4.637,4.631,4.614,4.529,21504
Salamanca,5.786,5.872,5.873,5.890,5.916,5.788,5.791,5.860,5.868,5.848,5.850,5.818,5.829,5.752,24433
Chamartín,5.105,5.070,5.056,5.022,5.043,4.980,4.931,4.941,4.934,5.051,5.102,5.174,5.196,5.187,25969
Tetuán,3.689,3.635,3.656,3.694,3.715,3.716,3.719,3.702,3.719,3.722,3.731,3.725,3.693,3.644,14970
Chamberí,5.363,5.304,5.301,5.280,5.298,5.331,5.347,5.309,5.271,5.287,5.276,5.249,5.253,5.285,22499
Fuencarral-El Pardo,3.516,3.548,3.554,3.545,3.507,3.480,3.447,3.436,3.369,3.402,3.418,3.379,3.364,3.374,18573
Moncloa-Aravaca,3.945,3.946,3.963,3.973,3.947,3.896,3.910,3.931,3.928,3.950,3.905,3.892,3.875,3.854,22152
Latina,2.311,2.299,2.306,2.303,2.315,2.292,2.293,2.276,2.292,2.290,2.291,2.280,2.305,2.303,12232
Carabanchel,2.208,2.187,2.192,2.215,2.227,2.189,2.168,2.157,2.182,2.193,2.176,2.171,2.153,2.142,10872
Usera,2.072,2.043,2.031,2.015,2.019,2.041,2.060,2.043,2.071,2.039,2.034,2.036,2.045,2.004,9395
Puente Vallecas,1.945,1.957,1.954,1.958,1.960,1.951,1.926,1.915,1.908,1.913,1.901,1.890,1.888,1.886,9545
Moratalaz,2.500,2.500,2.515,2.558,2.566,2.594,2.588,2.616,2.558,2.495,2.483,2.484,2.530,2.500,13944
Ciudad Lineal,3.036,3.020,3.035,3.051,3.086,3.102,3.142,3.108,3.073,3.073,3.046,3.020,3.006,3.005,15408
Hortaleza,3.737,3.688,3.615,3.634,3.701,3.704,3.713,3.727,3.716,3.697,3.715,3.736,3.731,3.760,18277
Villaverde,1.730,1.730,1.719,1.700,1.711,1.713,1.708,1.716,1.716,1.729,1.717,1.693,1.705,1.693,9756
Villa Vallecas,2.364,2.434,2.419,2.429,2.421,2.404,2.400,2.413,2.448,2.421,2.414,2.409,2.353,2.324,11925
Vicálvaro,2.346,2.355,2.318,2.270,2.286,2.230,2.228,2.227,2.258,2.266,2.251,2.256,2.251,2.234,11695
San Blas-Canillejas,2.491,2.488,2.468,2.505,2.533,2.533,2.532,2.545,2.550,2.542,2.551,2.516,2.503,2.514,13404
Barajas,3.211,3.202,3.264,3.229,3.154,3.110,3.142,3.159,3.130,3.169,3.181,3.165,3.135,3.095,17641
